TAG_CODESPACE_AND_TAG_ID,TAG_ID,,,,,UTC_RELEASE_DATE_TIME,EST_TAG_LIFE,UTC_EXPIRATION_DATE_TIME,TAG_MODEL,TAG_TYPE,,,,,COMMON_NAME,SCIENTIFIC_NAME,RELEASE_LOCATION,,,,,,TAG_IMPLANT_TYPE,COMMENTS
A69-9002-3456,3456,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3455,3455,,,,,11/8/2011,221,6/16/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3454,3454,,,,,11/14/2011,221,6/22/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3453,3453,,,,,11/12/2011,221,6/20/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3452,3452,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3451,3451,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3450,3450,,,,,11/9/2011,221,6/17/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3449,3449,,,,,11/12/2011,221,6/20/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3448,3448,,,,,11/6/2011,221,6/14/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3447,3447,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3446,3446,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3445,3445,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3444,3444,,,,,11/9/2011,221,6/17/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3443,3443,,,,,11/9/2011,221,6/17/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3442,3442,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3441,3441,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3440,3440,,,,,11/8/2011,221,6/16/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3439,3439,,,,,11/1/2010,221,6/10/2011,V13P,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-3438,3438,,,,,11/6/2011,221,6/14/2012,V13,,,Normandeau,Adam Slowik,,American eel,Anguilla rostrata,Susquehanna River,,,,,,Internal,
A69-9002-2691,2691,,,,,7/13/2011,123,11/13/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-2690,2690,,,,,7/13/2011,123,11/13/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-2689,2689,,,,,7/13/2011,123,11/13/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-2688,2688,,,,,7/13/2011,123,11/13/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-2687,2687,,,,,7/11/2011,123,11/11/2011,V9-AP,Pressure,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-2686,2686,,,,,7/11/2011,123,11/11/2011,V9-AP,Acceleration,,MA Marine Fisheries,Jeff Kneebone,,Sand tiger shark,Carcharius taurus,"Plymouth Bay, MA",,,,,,internal,
A69-9002-2303,2303,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2302,2302,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2301,2301,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2300,2300,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2299,2299,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2298,2298,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2297,2297,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2296,2296,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2295,2295,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2294,2294,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2293,2293,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2292,2292,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2291,2291,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2290,2290,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2289,2289,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2288,2288,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2287,2287,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2286,2286,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2285,2285,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2284,2284,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2283,2283,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2282,2282,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2281,2281,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2280,2280,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2279,2279,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2278,2278,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2277,2277,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2276,2276,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2275,2275,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2274,2274,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2273,2273,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2272,2272,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2271,2271,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2270,2270,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2269,2269,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2268,2268,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2267,2267,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2266,2266,,,,,6/1/2010,,5/31/2015,V16P-4x,,A69-9002,MA DMF,Bill Hoffman,,striped bass,Morone saxatilis,Stellwagen Bank,,,,,,surgical implant,
A69-9002-2253,2253,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2252,2252,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2251,2251,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2250,2250,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2249,2249,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2248,2248,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2247,2247,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2246,2246,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2245,2245,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2244,2244,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2243,2243,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2242,2242,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2241,2241,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2240,2240,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2239,2239,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2238,2238,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2237,2237,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2236,2236,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2235,2235,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2234,2234,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2233,2233,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-1303-45147,45147,,,,,5/11/2011,1633,10/30/2015,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9551,985121014372674,,,Internal,
A69-1303-45146,45146,,,,,5/14/2011,1633,11/2/2015,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9553,985121015017081,,,Internal,
A69-1303-45149,45149,,,,,5/20/2011,1633,11/8/2015,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9552,985121014371755,,,Internal,
A69-1303-45148,45148,,,,,11/2/2011,1633,4/22/2016,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9600,985121014372405,,,Internal,
A69-1303-45137,45137,,,,,11/3/2011,1633,4/23/2016,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9599,NA,,,Internal,
A69-1303-45144,45144,,,,,11/9/2011,1633,4/29/2016,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9596,985121014396394,,,Internal,
A69-1303-45140,45140,,,,,11/9/2011,1633,4/29/2016,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9595,985121014371299,,,Internal,
A69-1303-45139,45139,,,,,11/8/2011,1633,4/28/2016,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9597,985121014397131,,,Internal,
A69-1303-45151,45151,,,,,11/8/2011,1633,4/28/2016,V16-6H,,,NC Div. Of Marine Fisheries,Michael Loeffler,,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,,,9598,985121014394089,,,Internal,
A69-9002-2232,2232,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2231,2231,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2230,2230,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2229,2229,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2228,2228,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2227,2227,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2226,2226,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2225,2225,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
A69-9002-2224,2224,,,,,6/1/2010,,5/31/2015,V16P-6x,,A69-9002,MA DMF,Bill Hoffman,,Atlantic cod,Gadus morhua,MA Bay,,,,,,surgical implant,
